symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,State,Date first added,CIK,Founded,id,class,exchange,name,status,tradable,marginable,shortable,easy_to_borrow,fractionable
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich, Switzerland,7/15/2010,896159,1985,2453845c-4785-46de-b332-6ee2438da196,us_equity,NYSE,Chubb Limited,active,TRUE,TRUE,TRUE,TRUE,TRUE
PENN,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,Wyomissing, Pennsylvania,3/22/2021,921738,1972,02ee28f8-d7a5-41ef-b212-a66d8dd85c4d,us_equity,NASDAQ,"Penn National Gaming, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
PNR,Pentair plc,reports,Industrials,Industrial Machinery,Worsley, UK,10/1/2012,77360,1966,c212e219-b17d-4ff1-99dd-30e3896122a3,us_equity,NYSE,Pentair plc,active,TRUE,TRUE,TRUE,TRUE,TRUE
CVS,CVS Health,reports,Health Care,Health Care Services,Woonsocket, Rhode Island,3/4/1957,64803,1996,4f4530c8-5ba0-4b16-86ec-b0ce753c5ac8,us_equity,NYSE,CVS HEALTH CORPORATION,active,TRUE,TRUE,TRUE,TRUE,TRUE
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,Woburn, Massachusetts,3/12/2015,4127,2002,b2b91a9b-3ecd-45ed-bf53-1f7d0613e1e8,us_equity,NASDAQ,"Skyworks Solutions, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem, North Carolina,3/20/2015,1359841,2000,1ce97178-60a2-4bde-93e3-cf93923bd880,us_equity,NYSE,"Hanesbrands, Inc.",active,TRUE,TRUE,TRUE,TRUE,FALSE
FAST,Fastenal Co,reports,Industrials,Building Products,Winona, Minnesota,9/15/2008,815556,1967,009c65c9-8abe-49b9-b481-dfeecb67d116,us_equity,NASDAQ,Fastenal Company Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon,1/2/2009,354908,1978,d7d4eeb5-9270-4e26-89b6-7a6ffddaa4b8,us_equity,NASDAQ,"FLIR Systems, Inc. (DE) Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,Wilmington, Delaware,6/3/2019,1755672,2019,fc0da839-9b1d-4c5e-ac1a-148c774d1c1f,us_equity,NYSE,"Corteva, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,Wilmington, Delaware,4/2/2019,1666700,2017,66236b83-60b6-4887-baa4-5b089063539e,us_equity,NYSE,"DuPont de Nemours, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
INCY,Incyte,reports,Health Care,Biotechnology,Wilmington, Delaware,2/28/2017,879169,1991,460d5fb3-ed90-48a1-b0d7-276f08f617f5,us_equity,NASDAQ,Incyte Corp. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
WAB,Westinghouse Air Brake Technologies Corp,reports,Industrials,Construction Machinery & Heavy Trucks,Wilmerding, Pennsylvania,2/27/2019,943452,1999 (1869),c3baa05b-10d0-4ecb-987f-8b34289553f3,us_equity,NYSE,Wabtec Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,White Plains, New York,11/1/2011,1524472,2011,2f9e8a74-914c-4b63-90f0-577fd772da6f,us_equity,NYSE,Xylem Inc,active,TRUE,TRUE,TRUE,TRUE,TRUE
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,Westlake, Texas,6/2/1997,316709,1971,1f868250-6f1d-4a57-9cd0-ac3f581a96e5,us_equity,NYSE,The Charles Schwab Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,Westbrook, Maine,1/5/2017,874716,1983,3988b92e-b5ee-449e-a83a-a04bbdf18cff,us_equity,NASDAQ,"IDEXX Laboratories, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,West Falls Church, Virginia,6/30/1985,1133421,"1994 (Northrop 1939, Grumman 1930)",02deac19-d59b-4b15-ae55-a375e182bffd,us_equity,NYSE,Northrop Grumman Corp.,active,TRUE,TRUE,TRUE,TRUE,TRUE
TFX,Teleflex,reports,Health Care,Health Care Equipment,Wayne, Pennsylvania,1/18/2019,96943,1943,05c0c15b-5f26-435f-b4b7-18a2a5d3ad0a,us_equity,NYSE,Teleflex Incorporated,active,TRUE,TRUE,TRUE,TRUE,TRUE
GNRC,Generac Holdings,reports,Industrials,Electrical Components & Equipment,Waukesha, Wisconsin,3/22/2021,1474735,1959,d249df15-5475-4218-af2d-9d7b8fc31b73,us_equity,NYSE,GENERAC HOLDINGS INC,active,TRUE,TRUE,TRUE,TRUE,TRUE
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,Washington, D.C.,,313616,1969,42f6d400-741b-4a18-ae61-73faae71e2cb,us_equity,NYSE,Danaher Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
NKE,"Nike, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Washington County, Oregon,11/30/1988,320187,1964,db00f7c3-19bb-42b6-9beb-79e92487f99e,us_equity,NYSE,"Nike, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,Warsaw, Indiana,8/7/2001,1136869,1927,fc12f337-b4be-4805-9206-2f67ec0a0057,us_equity,NYSE,"Zimmer Biomet Holdings, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
AMCR,Amcor plc,reports,Materials,Paper Packaging,Warmley," Bristol, United Kingdom",6/7/2019,1748790,2019 (1860),74bfaf2c-9f8a-495d-b1ec-d701f492545a,us_equity,NYSE,Amcor plc Ordinary Shares,active,TRUE,TRUE,TRUE,TRUE,TRUE
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,Waltham, Massachusetts,5/31/1985,31791,1937,dbb3a9dd-553a-46f2-a0cf-c53116e4c85a,us_equity,NYSE,"PerkinElmer, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,Waltham, Massachusetts,,101829,1922,4d8f7f83-d998-4839-9134-38473cd13123,us_equity,NYSE,Raytheon Technologies Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
