zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1,3M Center,Specialty Industrial Machinery,197.14,197.99,178.60007,0.029877244,0.6029,,199.47,,2942900,,197.14,194.97736,5.89,197.99,,2942900,,,,5.92,1613001600,0.963044,,,196.66,2,USD,20.324396,1733844,,,,115129253888,,,2405980,3.4929993,196.66,0.0,,1100,1733844,203.16,18.754486,,2.86,131.12,0.0,False,0.03,800,199.47,NYQ,3M Company,3M Company,America/New_York,EDT,False,-14400000,EQUITY,MMM,finmb_289194,us_market,,3.892,,0.17294,13.658,0.33717692,,10.59,,579675008,,,23.737,10277752,0.0177,,1609372800,0.67319,5699999744,9.772,1.48,0.457646,8.367106,0.0011999999,1672444800,1617148800,4.2,1615766400,579072140,128266133504,,1064880000,2:1,,1613001600,,0.242,1618444800,2.58,,0.0178,9947806,,,,197.99,https://logo.clearbit.com/3m.com,,,,,,
60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1,100 Abbott Park Road,Medical Devices,120.08,120.55,115.16822,0.013491006,0.47959998,,120.66,,4036200,,120.08,120.86412,1.62,120.55,,4036200,,,,1.8,1618358400,0.701599,,,119.1773,2,USD,37.446743,4425200,,,,211750977536,,,4974478,5.671192,119.1773,119.25,,800,4425200,128.54,22.09427,,1.78,86.16,119.45,False,0.015,800,120.66,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,False,-14400000,EQUITY,ABT,finmb_247483,us_market,,6.044,,0.1533,22.164,0.29076648,,5.41,,1771529984,,,18.509,14598473,0.0082,,1609372800,0.75757,5697999872,3.192,0.45,0.457646,6.457939,0.00723,1672444800,1617148800,2.95,1615766400,1758189742,225686241280,,1357084800,10000:4798,,1618358400,,2.179,1618444800,1.49,,0.0084,12729708,,,,120.55,https://logo.clearbit.com/abbott.com,Abbott Park,,,,,
60064-6400,Healthcare,47000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,111.5,112.4,103.71407,0.032825112,1.7353,,115.1,,6236440,,111.5,107.700294,3.66,112.4,,6236440,,,,5.2,1618358400,0.806398,,,111.59,2,USD,39.368347,8021508,,,,202390700032,,,6915963,4.0320888,111.59,114.65,,1000,8021508,115.1,8.268205,,4.18,79.11,114.58,False,0.0466,1000,115.1,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,False,-14400000,EQUITY,ABBV,finmb_141885706,us_market,,5.489,,0.10278,11.49,0.3060794,,13.87,,1764829952,,,7.408,18705085,0.0106,,1609372800,0.69762003,5098999808,2.913,1.3,0.457646,15.480561,0.00104,1672444800,1617148800,2.44,1615766400,1737804171,275527794688,,,,,1618358400,,0.18,1618444800,2.15,,0.0106,16201312,,,,112.4,https://logo.clearbit.com/abbvie.com,,,,,,
01923,Healthcare,,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,320.73,317.88,305.33304,,0.0,,319.92,,290500,,320.73,321.61206,,317.88,,290500,,,,,,1.309983,,,305.51,2,USD,62.477734,369188,,,,13960096768,,,281731,16.471663,305.51,0.0,,900,369188,387.4,59.126442,,,180.29,0.0,False,,800,319.92,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABMD,finmb_247589,us_market,,16.448,,0.26610002,55.276,0.7223177,,5.22,,45231000,,,29.371,1007373,0.0223,,1617148800,0.97039,225524992,4.94,,0.457646,10.508325,0.021240002,1680220800,1617148800,3.8,1615766400,44283136,13939815424,,970444800,2:1,,,,0.788,1618444800,4.43,,0.0255,1263395,,,,317.88,https://logo.clearbit.com/abiomed.com,,978 777 8411,,,,
2,Technology,537000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,289.97,292.93,256.64474,0.011863296,0.39810002,,293.42,,1413700,,289.97,280.37177,3.44,292.93,,1413700,,,,3.52,1618358400,1.100386,,,291.365,2,USD,34.576332,1300351,,,,185716981760,,,2075595,4.0658855,291.365,292.32,,900,1300351,293.42,31.14819,,1.63,174.94,291.94,False,0.0121,900,293.42,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,False,-14400000,EQUITY,ACN,finmb_972190,us_market,,3.922,,0.11946999,23.608,0.59657526,,9.38,,635646976,,,28.802,4134151,0.0064999997,,1598832000,0.73638,5457266176,8.45,0.88,0.457646,10.144088,0.00126,1661904000,1614470400,1.76,1615766400,634649239,179157319680,,1325203200,10:1,,1618358400,,0.167,1618444800,3.51,,0.0064999997,4557269,661662016,,,292.93,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020,,,,
90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],http://www.activisionblizzard.com,1,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,91.19,91.7,89.25318,0.0051540737,0.1454,,92.02,,6416020,,91.19,93.83059,0.47,91.7,,6416020,,,,0.47,1618358400,0.63541,,,90.84,2,USD,32.322697,6641764,,,,70618824704,,,5780531,8.733468,90.84,0.0,,1300,6641764,104.53,21.346605,,0.58,66.59,0.0,False,0.0052,1100,92.02,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ATVI,finmb_4222231,us_market,,8.129,,0.2717,21.73,0.33065808,,4.27,,774753984,,,19.422,8130619,0.0105,,1609372800,0.90538,2196999936,2.82,0.47,0.457646,4.6931314,0.013200001,1672444800,1609372800,1.42,1615766400,765557635,65733812224,,1220832000,2:1,,1618358400,,-0.03,1618444800,1.45,,0.0106,12546053,,,,91.7,https://logo.clearbit.com/activisionblizzard.com,,,,,,
95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,508.34,510.97,478.89963,,0.0,,511.74,,1669340,,508.34,488.42325,,510.97,,1669340,,,,,1111622400,0.948152,,,501.121,2,USD,43.83249,1458698,,,,240653877248,,,2552005,17.589087,501.121,0.0,,1800,1458698,536.88,36.82955,,,348.01,0.0,False,,800,511.74,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,17.741,,0.40681,45.515,0.4274001,,13.67,,478000000,,,28.28,5290138,0.0111,,1606435200,0.85846,5566000128,11.486,0.0065,0.457646,17.802687,0.0030899998,1669507200,1614902400,1.89,1615766400,476518200,242730516480,,1116892800,2:1,,1111622400,,0.32,1618444800,2.48,,0.0111,5068426,,,,510.97,https://logo.clearbit.com/adobe.com,,408 537 6000,,,,
95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1,2485 Augustine Drive,Semiconductors,81.62,81.97,85.65437,,0.0,,82.0,,65247000,,81.62,80.71236,,81.97,,65247000,,,,,798940800,2.055708,,,78.46,2,USD,32.976494,66323268,,,,95439831040,,,43680811,8.35579,78.46,0.0,,800,66323268,99.23,28.98524,,,48.42,0.0,False,,900,82.0,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMD,finmb_168864,us_market,,8.458,,0.25241,43.752,0.5639012,,2.71,,1215020032,,,5.331,82698029,0.0681,,1608940800,0.77392,2883000064,2.382,,0.457646,14.734572,0.0057599996,1672012800,1616803200,1.96,1615766400,1208265459,96605011968,,966902400,2:1,,,,2.426,1618444800,1.4,,0.0684,83627064,,,,81.97,https://logo.clearbit.com/amd.com,,,,,,
27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,Specialty Retail,200.16,201.34,165.98755,0.004996003,0.1401,,203.625,,577560,,200.16,188.50412,1,201.34,,577560,,,,4,1623888000,1.357418,,,200.78,2,USD,28.27171,780655,,,,13173585920,,,914695,1.3034997,200.78,202.9,,800,780655,203.625,17.31218,,0.25,116.76,202.37,False,0.02,1100,203.625,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAP,finmb_24333,us_market,,1.552,,0.048779998,14.936,0.65162146,,11.66,,65261000,,,54.079,3275942,0.050100002,,1609545600,1.04575,493020992,7.14,0.25,0.457646,3.7326875,0.00401,1672617600,1609545600,3.95,1615766400,60761083,15682360320,,1127692800,3:2,,1616025600,,0.168,1618444800,1.61,,0.0563,3169102,,,,201.34,https://logo.clearbit.com/advanceautoparts.com,,,,,,
22203,Utilities,8162.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",Arlington,703-522-1315,VA,United States,[],http://www.aes.com,1,4300 Wilson Boulevard,Utilities—Diversified,27.82,28.0,24.667408,0.020596694,9.5533,,28.083,,4107480,,27.82,27.423824,0.573,28.0,,4107480,,,,0.6,1619654400,0.795366,,,27.34,2,USD,427.34375,5982116,,,,18272864256,,,6191506,1.8916008,27.34,27.99,,1100,5982116,29.07,16.279762,,3.55,11.0,26.65,False,0.0216,2200,28.083,NYQ,The AES Corporation,The AES Corporation,America/New_York,EDT,False,-14400000,EQUITY,AES,finmb_35312,us_market,,4.081,,0.00476,11.555,1.1318007,,1.68,,668112000,,,3.959,11999834,0.018,,1609372800,1.06057,43000000,0.064,0.151,0.457646,6.90831,0.00327,1672444800,1609372800,2.0,1615766400,663157320,39426650112,,959904000,2:1,,1619654400,,,1618444800,2.2,,0.0241,13422641,,,,28.0,https://logo.clearbit.com/aes.com,11th Floor,,,,,
